Name,Devanagari,Sandhi,English,Etymology,YogaSeries,Before,After,Ashtanga,Yin,Baptiste,SeriesHot,Categories,Open,OpenAsana,Stable,StableAsana,Preparation,Counterposes
Tittibhasana A,तिट्टिभासन A,Tiṭṭibhāsana A,Firefly Pose A,Tiṭṭibha = firefly,nāḍī śodhana,Yoga Nidrāsana,Tiṭṭibhāsana A,x,,,,"10,4","Wrist flexors, elbow flexors, shoulder flexors, back extensors, hip adductors and extensors, knee flexors, ankle dorsiflexors.","[[Adhomukhaśvānāsana]], [[Baddhakoṇāsana B]], [[Bakāsana B]], [[Bhujapīḍāsana]], [[Garuḍāsana]], [[Mālāsana]], [[Prasāritapādottānāsana A]], [[Upaviṣṭhakoṇāsana A]], [[Utthitatrikoṇāsana]].","Wrist synergists, elbow synergists, shoulder stabilizers (emphasis flexors, protractors), external rotators of the arm, chest, abdominals, hip adductors and flexors, pelvic floor, knee extensors, calves.","[[Adhomukhaśvānāsana]], [[Bakāsana B]], [[Bālāsana]], [[Bharmanāsana]], [[Chaturāṅgadaṇḍāsana]], [[Kouṇḍinyāsana B]], [[Kūrmāsana]], [[Mālāsana]], [[Marīchyāsana A]], [[Nāvāsana]], [[Parivṛtta Jānuśīrṣāsana]], [[Prasāritapādottānāsana A]], [[Śīrṣāsana]]I, [[Upaviṣṭhakoṇāsana A]], [[Ūrdhvakukkutāsana]], [[Ekapādabakāsana A]].","Transition to [[Bakāsana B]] then [[Chaturāṅgadaṇḍāsana]], [[Bhujapīḍāsana]].","[[Vinyāsa]], [[Ūrdhvamukhaśvānāsana]], [[Adhomukhaśvānāsana]], [[Bhuja]], [[Bālāsana]]."
Tittibhasana B,तिट्टिभासन B,Tiṭṭibhāsana B,Firefly Pose B,Tiṭṭibha = firefly,nāḍī śodhana,Tiṭṭibhāsana A,Tiṭṭibhāsana B,x,,,,,,,,,,
Tittibhasana C,तिट्टिभासन चC,Tiṭṭibhāsana C,Firefly Pose C,Tiṭṭibha = firefly,nāḍī śodhana,Tiṭṭibhāsana B,Tiṭṭibhāsana C,x,,,,,,,,,,
Ustrasana,उष्ट्रासन​,Uṣṭrāsana,Camel Pose,Uṣṭra = camel,nāḍī śodhana,Pārśva Dhanurāsana,Uṣṭrāsana,x,,x,Apertura,13,"Foot dorsiflexors, knee extensors, abdominals, chest, throat, elbow flexors.","[[Añjanēyāsana]], Salabhasana, [[Ūrdhva Dhanurāsana]], [[Vajrāsana A]], [[Vīrabhadrāsana A]]","Knee extensors, hip adductors and extensors, internal rotators of the leg, back extensors, abdominals, shoulder stabilizers (emphasis retractors, extensors), external rotators of the arm, elbow flexors.","[[Añjanēyāsana]], [[Ālāsana]], [[Bhekāsana]], [[Rājakapotāsana]], [[Bharmanāsana]], [[Dhanurāsana]], [[Ekapādarājakapotāsana]],[[Rājakapotāsana]], [[Ūrdhva Dhanurāsana]], [[Śalabhāsana B]], [[Vajrāsana A]], [[Ūrdhva Dhanurāsana]], [[Ūrdhvamukhaśvānāsana]].","[[Pūrvottānāsana]], [[Laghu Vajrāsana]], [[Kapotāsana B]], [[Ūrdhva Dhanurāsana]].","[[Bālāsana]], [[Marīchyāsana]], [[Baddhakoṇāsana B]], [[Paścimottānāsana]]."
Vatayanasana,वातायनासन​,Vātāyanāsana,Horse Face Pose,Vātāyana = horse face,nāḍī śodhana,Nakrāsana,Vātāyanāsana,x,,,,,,,,,,
Yoga Nidrasana,योग निद्रासन​,Yoga Nidrāsana,Yogic Sleep Pose,Yoga = union; Nidrā = sleep,nāḍī śodhana,Dvipādaśīrṣāsana,Yoga Nidrāsana,x,,,,,,,,,,
Paschimottanasana,पश्चिमोत्तानासन ,Paścimottānāsana,Seated Forward Bend B,Paścima = west; Uttāna = intense stretch,pṛṣṭhavakrāsana,Ūrdhva Dhanurāsana,Sarvāṅgāsana,x,x,x,Apertura,,,,,,,
Trianga Mukhottanasana A,त्रिअंगमुखोत्तनासन A,Triaṅgamukhottanāsana A,Three-Limbed Intense Stretch,"Tri = three, anga = limb, mukha = face/intense, uttana = stretch.",pṛṣṭhavakrāsana,Ūrdhva Dhanurāsana,Paścimottānāsana,x,x,,Apertura,,,,,,,
Trianga Mukhottanasana B,त्रिअंगमुखोत्तनासन B,Triaṅgamukhottanāsana B,Three-Limbed Intense Stretch,"Tri = three, anga = limb, mukha = face/intense, uttana = stretch.",pṛṣṭhavakrāsana,Ūrdhva Dhanurāsana,Paścimottānāsana,x,x,,Apertura,,,,,,,
Urdhva Dhanurasana,ऊर्ध्व धनुरासन,Ūrdhva Dhanurāsana,Upward Bow Pose,Ūrdhva = upward; Dhanu = bow; Āsana = posture,pṛṣṭhavakrāsana, - ,Paścimottānāsana,x,,x,Apertura,13,"Hip flexors, external rotators of the leg, abdominals, chest, shoulder elevators, retractors and extensors, wrist flexors.","[[Rājakapotāsana]], ashtanga pranam, [[Chaturāṅgadaṇḍāsana]], [[Añjanēyāsana]], [[Phalakāsana]].","Wrist synergists, elbow extensors, external rotators of the arm, shoulder stabilizers (emphasis retractors, protractors, flexors), back extensors, transversus abdominis, hip extensors and adductors, intrinsic foot muscles.","[[Adhomukhaśvānāsana]], [[Adhomukhavṛkṣāsana]], [[Añjanēyāsana]], [[Ālāsana]], [[Rājakapotāsana]], [[Bharmanāsana]], [[Chaturāṅgadaṇḍāsana]], [[Dhanurāsana]], [[Garuḍāsana]] arms, [[Ūrdhva Dhanurāsana]], [[Vajrāsana A]], [[Ūrdhvamukhaśvānāsana]], [[Vīrabhadrāsana A]].","Maintaining parallel positioning of the feet, move hands closer to the feet; Eka Pada [[Ūrdhva Dhanurāsana]], [[Dvipādaviparītadaṇḍāsana]], drop-backs, ticktocks.","[[Apānāsana]], [[Marīchyāsana]], [[Baddhakoṇāsana B]], [[Ānandabālāsana]], [[Bālāsana]], [[Paścimottānāsana]]."
Viparita Chakrasana,विपरीच्चक्रासन,Viparīccakrāsana,Inverted Wheel Pose,Viparīta = inverted; Cakra = wheel,pṛṣṭhavakrāsana,Ūrdhva Dhanurāsana,Paścimottānāsana,x,,,,10,"Wrist flexors, shoulder elevators and retractors, throat, chest, abdominals, hip flexors.","[[Adhomukhavṛkṣāsana]], [[Baddhakoṇāsana A]], [[Piñchamayūrāsana]], [[Adhomukhaśvānāsana]], [[Rājakapotāsana]], [[Ekapādarājakapotāsana]].","Wrist flexors, elbow flexors, external rotators of the arm, shoulder stabilizers (emphasis retractors, protractors, flexors), back extensors, transversus abdominis, hip flexors and adductors.","[[Adhomukhaśvānāsana]], [[Adhomukhavṛkṣāsana]], [[Añjanēyāsana]], [[Ālāsana]], [[Bhekāsana]], [[Rājakapotāsana]], [[Bharmanāsana]], [[Chaturāṅgadaṇḍāsana]], [[Dhanurāsana]], [[Ekapādarājakapotāsana]], [[Piñchamayūrāsana]], [[Garuḍāsana]], [[Phalakāsana]],[[Rājakapotāsana]], [[Śalabhāsana B]], [[Śīrṣāsana]], [[Baddhakoṇāsana A]], [[Ūrdhva Dhanurāsana]], [[Tāḍāsana]], [[Ūrdhvamukhaśvānāsana]], [[Uṣṭrāsana]], [[Vīrabhadrāsana A]].","With [[Adhomukhavṛkṣāsana]] arms: Drop into [[Ūrdhva Dhanurāsana]], ticktocks.","[[Marīchyāsana]], [[Apānāsana]], [[Bālāsana]]."
Baddha Padmasana,बद्धपद्मासन,Baddhapadmāsana,Bound Lotus Pose,Baddha = bound; Padma = lotus,samāpana,Sirsasana A,Yoga Mudra,x,,,,,,,,,,
Halasana,हलासन​,Halāsana,Plow Pose,Hala = plow,samāpana,Sarvāṅgāsana,Karna Pidasana,x,x,x,Entrega,11,"Foot dorsiflexors, knee extensors, hip extensors, back extensors.","[[Daṇḍāsana]], [[Prasāritapādottānāsana C]], [[Sarvāṅgāsana]], [[Ūrdhva Dhanurāsana]].","Shoulder stabilizers (emphasis retractors, adductors, extensors), back extensors, hip extensors and adductors, internal rotators of the leg, knee extensors, foot dorsiflexors.","[[Adhomukhaśvānāsana]], [[Ardhottānāsana]], [[Bharmanāsana]], [[Daṇḍāsana]], [[Prasāritapādottānāsana C]] arms, [[Sarvāṅgāsana]], [[Ūrdhva Dhanurāsana]], [[Uttānāsana]].","[[Karṇapīḍāsana]], [[Sarvāṅgāsana]].","[[Uttānapādāsana]], [[Marīchyāsana]], [[Adhomukhaśvānāsana]], [[Sarvāṅgāsana]], [[Śavāsana]]."
Karna Pidasana,कर्णपीडासन​,Karṇapīḍāsana,Ear Pressure Pose,Karṇa = ear; Pīḍa = pressure,samāpana,Halasana,Urdhva Padmasana,x,,x,Entrega,11,"Elbow flexors, shoulder flexors, back extensors, hip extensors.","[[Bālāsana]], [[Daṇḍāsana]], [[Halāsana]], [[Paścimottānāsana A]].","Shoulder stabilizers (emphasis retractors, adductors, extensors), elbow extensors, back extensors, hip flexors, internal rotators of the leg, knee extensors, foot dorsiflexors.","[[Agnistambhāsana]], [[Halāsana]], [[Marīchyāsana A]], [[Parivṛttotkaṭāsana]], [[Paścimottānāsana A]], [[Prasāritapādottānāsana C]], [[Tryaṅgamukhaikapāda Paścimottānāsana]], [[Ūrdhvapadmāsana]], [[Ekapādabakāsana A]], [[Uttānāsana]].","[[Piṇḍāsana]], long-held forward bends.","[[Uttānapādāsana]], [[Marīchyāsana]], [[Adhomukhaśvānāsana]], [[Sarvāṅgāsana]], [[Śavāsana]]."
Matsyasana,मत्स्यासन​,Matsyāsana,Fish Pose,Matsya = fish,samāpana,Urdhva Padmasana,Uttana Padasana,x,,x,Entrega,3,"Knee extensors, hip adductors and extensors, internal rotators of the leg. Abdominals, chest, shoulder flexors, throat.","[[Padmāsana]] and its Prep poses, [[Ūrdhva Dhanurāsana]], [[Uttānapādāsana]]","Hip flexors, adductors, internal rotators of the leg, knee extensors, foot dorsiflexors, back extensors, transversus abdominis, shoulder retractors and extensors, elbow extensors, neck.","[[Adhomukhaśvānāsana]], [[Añjanēyāsana]], [[Ardhottānāsana]], [[Ālāsana]], [[Daṇḍāsana]], [[Dhanurāsana]], [[Nāvāsana]], [[Śalabhāsana A]] and [[Śalabhāsana B]], [[Vajrāsana A]], [[Ūrdhvamukhaśvānāsana]], [[Uṣṭrāsana]].","Transition to [[Uttānapādāsana]], [[Cakorāsana]].","[[Apānāsana]], [[Ānandabālāsana]], [[Śavāsana]]."
Padmasana,पद्मासन​,Padmāsana,Lotus Pose,Padma = lotus,samāpana,Yoga Mudra,Utplutih,x,x,,,"3,4","Hip adductors and extensors, internal rotators of the leg, knee extensors.","[[Baddhakoṇāsana B]], [[Daṇḍāsana]], [[Ekapādarājakapotāsana]] and its Prep poses, [[Gomukhāsana B]], [[Vīrabhadrāsana A]].","Hip flexors, external rotators of the leg, pelvic floor, transversus abdominis, back extensors, knee flexors, shoulder retractors and protractors.","[[Agnistambhāsana]], [[Ardhabaddhapadmottānāsana]], [[Baddhakoṇāsana B]], [[Bharadvājāsana]], [[Gomukhāsana B]], [[Mālāsana]], [[Prasāritapādottānāsana A]], [[Upaviṣṭhakoṇāsana A]], [[Uttānāsana]].","[[Utplutiḥ]], [[Matsyāsana]], [[Ūrdhvapadmāsana]], [[Ūrdhvakukkutāsana]], yoga mudra.","[[Daṇḍāsana]], [[Suptapādāṅguṣṭhāsana A]], [[Adhomukhaśvānāsana]]."
Sarvangasana,सर्वाङ्गासन​,Sarvāṅgāsana,Shoulder Stand,Sarva = all; Aṅga = limb,samāpana,Paścimottānāsana,Halasana,x,x,x,Entrega,11,"Hip extensors, knee flexors.",A deeply restorative asana that can be practiced on its own or after any sequence.,Hip adductors.,In itself a restorative that can be practiced independently or after any practice.,"Strap thighs together, place sandbag over feet; explore wall-supported Ardha [[Sarvāṅgāsana]] or [[Suptakoṇāsana]].","[[Apānāsana]], [[Baddhakoṇāsana B]], [[Śavāsana]]."
Savasana,शवासन​,Śavāsana,Corpse Pose,Śava = corpse,samāpana,Utplutih,- ,x,x,x,Entrega,3,Everything.,For integration following practice.,The floor—somewhat.,Final restorative after any practice.,"Often sequenced as the final pose of the practice; restorative pose, slowly transition up to sitting.","At the end of practice, allow at least five minutes in this asana; practice a shorter hold within an asana practice."
Sirsasana A,शीर्षासन​,Śīrṣāsana,Headstand,Śīrṣa = head,samāpana,Uttana Padasana,Baddha Padmasana,x,,,,11,Shoulder extensors and retractors.,"[[Adhomukhaśvānāsana]], [[Piñchamayūrāsana]], [[Phalakāsana]], [[Śīrṣāsana]]I, [[Baddhakoṇāsana A]], [[Uttānāsana]]; abdominal core work.","Elbow synergists, shoulder stabilizers (emphasis flexors, protractors, retractors), neck, obliques, abdominals, back extensors, hip flexors, adductors, and extensors, internal rotators of the leg, knee extensors.","[[Adhomukhaśvānāsana]], [[Adhomukhavṛkṣāsana]], [[Ardhottānāsana]], [[Ālāsana]], [[Chaturāṅgadaṇḍāsana]], [[Nāvāsana]], [[Phalakāsana]], [[Baddhakoṇāsana A]], [[Ūrdhva Dhanurāsana]], [[Tāḍāsana]], [[Uttānāsana]].","Twist to each side; fold legs into [[Padmāsana]] position, Parsvaikapada Sirsasana, Urdhva [[Daṇḍāsana]].","[[Bālāsana]], [[Adhomukhaśvānāsana]]: relax neck, let head hang, [[Śirṣa]], [[Sarvāṅgāsana]]."
Urdhva Padmasana,ऊर्ध्वपद्मासन,Ūrdhvapadmāsana,Upward Lotus Pose,Ūrdhva = upward; Padma = lotus,samāpana,Karna Pidasana,Matsyasana,x,,,,"4,11","Neck, hip adductors and extensors, internal rotators of the leg, knee extensors.","[[Baddhakoṇāsana B]], [[Padmāsana]] and its Prep poses, [[Sarvāṅgāsana]].","Shoulder stabilizers (emphasis retractors, adductors), neck, elbow extensors, back extensors, hip extensors, abdominals.","[[Adhomukhaśvānāsana]], [[Ardhabaddhapadmottānāsana]], [[Ardhottānāsana]], [[Baddhakoṇāsana B]], [[Halāsana]], [[Karṇapīḍāsana]], [[Mālāsana]], [[Padmāsana]], [[Paścimottānāsana A]], [[Phalakāsana]], [[Sarvāṅgāsana]], [[Upaviṣṭhakoṇāsana A]], [[Uttānāsana]].","In [[Sarvāṅgāsana]]: transition to [[Piṇḍāsana]], or lift knees up to extend Lotus and revolve to one side, then the other (one hand to sacrum); transition to Mayurasana.","[[Matsyāsana]], [[Uttānapādāsana]], [[Supta Matsyendrāsana]], [[Śavāsana]]."
Utplutih,उत्प्लुतिः,Utplutiḥ,Floating Pose,Ut = up; Pluti = to float,samāpana,Padmasana,Śavāsana,x,,,,"4,10","Wrist flexors, elbow flexors, shoulder elevators, retractors, and flexors, back extensors, hip adductors and extensors, internal rotators of the leg, knee extensors.","[[Padmāsana]] and its Prep poses, abdominal core work.","Wrist synergists, elbow synergists, shoulder stabilizers (emphasis flexors, protractors), external rotators of the arm, chest, abdominals, hip adductors and flexors, external rotators of the leg, pelvic floor, knee flexors, foot dorsiflexors.","[[Adhomukhaśvānāsana]], [[Agnistambhāsana]], [[Ardhabaddhapadmottānāsana]], [[Baddhakoṇāsana B]], [[Bakāsana B]], [[Chaturāṅgadaṇḍāsana]], [[Mālāsana]], [[Padmāsana]], [[Phalakāsana]], [[Ūrdhvamukhaśvānāsana]]",Transition to [[Lolasana]] or [[Ūrdhvakukkutāsana]].,"[[Daṇḍāsana]], [[Pūrvottānāsana]], [[Ūrdhvamukhaśvānāsana]], [[Adhomukhaśvānāsana]], [[Bālāsana]], [[Bhuja]]."
Uttana Padasana,उत्तानपादासन,Uttānapādāsana,Stretched Feet Pose,Uttāna = intense stretch; Pāda = foot,samāpana,Matsyasana,Sirsasana A,x,,,,13,"Abdominals, chest, throat, shoulder elevators, knee flexors, foot dorsiflexors.","[[Daṇḍāsana]],  [[Nāvāsana]], [[Ūrdhva Dhanurāsana]], [[Vīrabhadrāsana A]].","Hip flexors, adductors, internal rotators of the leg, knee extensors, foot dorsiflexors, back extensors, transversus abdominis, shoulder retractors, protractors, and flexors, elbow extensors, neck.","[[Adhomukhaśvānāsana]], [[Añjanēyāsana]], [[Ardhottānāsana]], [[Ālāsana]], [[Rājakapotāsana]], [[Bharmanāsana]], [[Chaturāṅgadaṇḍāsana]], [[Daṇḍāsana]], [[Nāvāsana]], [[Śalabhāsana B]], [[Ūrdhvamukhaśvānāsana]], [[Uṣṭrāsana]], [[Utkaṭāsana]].",[[Setubandhāsana]],"[[Apānāsana]], [[Marīchyāsana]], [[Śavāsana]]."
Yoga Mudra,योगमुद्रा,Yogamudrā,Yoga Seal,Yoga = union; Mudrā = seal,samāpana,Baddha Padmasana,Padmasana,x,,,,,,,,,,
Adho Mukha Vrksasana,अधोमुखवृक्षासन,Adhomukhavṛkṣāsana,Tree Pose,Vṛkṣa = tree,tṛtīya śreṇī,Ekapādarājakapotāsana,Ūrdhva Dhanurāsana,x,,,,1,"Wrist flexors, shoulder extensors, back extensors, hip flexors, knee flexors.","[[Adhomukhaśvānāsana]], [[Bharmanāsana]], [[Piñchamayūrāsana]], [[Tāḍāsana]], [[Phalakāsana]], [[Ūrdhva Dhanurāsana]]. For arms and shoulders, these respective arm forms: [[Tāḍāsana]], [[Gomukhāsana B]], [[Garuḍāsana]].","Wrist synergists, elbow synergists, shoulder stabilizers (emphasis flexors, protractors, retractors), obliques, abdominals, back extensors, hip flexors, adductors, and extensors, internal rotators of the leg, knee extensors.","[[Adhomukhaśvānāsana]], [[Ūrdhvamukhaśvānāsana]], [[Phalakāsana]], [[Piñchamayūrāsana]], [[Baddhakoṇāsana A]], [[Ūrdhva Dhanurāsana]], [[Śīrṣāsana]], [[Nāvāsana]], [[Chaturāṅgadaṇḍāsana]], [[Tāḍāsana]], [[Vasiṣṭhāsana]].","[[Viparīccakrāsana]]; [[Adhomukhavṛkṣāsana]] to [[Chaturāṅgadaṇḍāsana]], or [[Ūrdhva Dhanurāsana]], [[Ūrdhvakukkutāsana]]; ticktocks, [[Śīrṣāsana]], [[Piñchamayūrāsana]].","[[Bālāsana]], [[Uttānāsana]], [[Bhuja]], [[Śavāsana]]."
Astavakrasana,अष्टवक्रासन​,Aṣṭavakrāsana,Eight-Angle Pose,Named after Sage Aṣṭavakra (a sage with eight bends),tṛtīya śreṇī,Kouṇḍinyāsana B,Aṣṭavakrāsana,x,,,,"10,4","Wrist flexors, shoulder elevators and flexors, chest, obliques, knee flexors, hip extensors and abductors.","[[Adhomukhaśvānāsana]], [[Ūrdhvamukhaśvānāsana]], [[Bālāsana]], [[Supta Matsyendrāsana]], [[Marīchyāsana A]] and [[Marīchyāsana B]], [[Parivṛttapārśvakoṇāsana]], [[Parivṛttotkaṭāsana]], [[Uttānāsana]], [[Utthitapārśvakoṇāsana]].","Wrist synergists, elbow synergists, rotators of the arm, chest, shoulder stabilizers (emphasis adductors, protractors, retractors) obliques, abdominals, hip adductors and flexors, knee extensors, foot dorsiflexors.","[[Adhomukhaśvānāsana]], [[Ūrdhvamukhaśvānāsana]], [[Bakāsana B]], [[Bharmanāsana]], [[Chaturāṅgadaṇḍāsana]], [[Garuḍāsana]], [[Lolasana]], [[Marīchyāsana A]] and [[Marīchyāsana C]], [[Parivṛttapārśvakoṇāsana]], [[Parivṛttotkaṭāsana]], [[Pārśvabakāsana]], [[Utkaṭāsana]].",,"[[Vinyāsa]], [[Ūrdhvamukhaśvānāsana]], [[Adhomukhaśvānāsana]],[[Suptakoṇāsana]], [[Bālāsana]], [[Bhuja]]."
Bhairavasana,भैरवासन​,Bhairavāsana,Formidable Pose,"Named after Bhairava, a fierce form of Shiva",tṛtīya śreṇī,Cakorāsana,Bhairavāsana,x,,,,,,,,,,
Cakorasana,चकोरासन​,Cakorāsana,Partridge Pose,Cakora = partridge (a bird),tṛtīya śreṇī,Kāśyapāsana,Cakorāsana,x,,,,,,,,,,
Dikasana A,दिकासन A,Dikāsana A,Direction Pose A,Dikā = direction,tṛtīya śreṇī,Hanumānāsana,Dikāsana A,x,,,,,,,,,,
Dikasana B,दिकासन B,Dikāsana B,Direction Pose B,Dikā = direction,tṛtīya śreṇī,Dikāsana A,Dikāsana B,x,,,,,,,,,,
Durvasana,दुर्वासन​,Durvāsana,Sage Durvasa’s Pose,Named after Sage Durvasa,tṛtīya śreṇī,Skandāsana,Durvāsana,x,,,,,,,,,,
Dvipada Viparita Dandasana,द्विपादविपरीतदण्डासन,Dvipādaviparītadaṇḍāsana,Two-Legged Inverted Staff Pose,Dvipāda = two-legged; Viparīta = inverted; Daṇḍa = staff,tṛtīya śreṇī,Virañchyāsana B,Dvipādaviparītadaṇḍāsana,x,,,,4,"Shoulder elevators, extensors, and retractors, chest, abdominals, hip flexors, knee flexors, foot dorsiflexors.","[[Adhomukhaśvānāsana]], [[Añjanēyāsana]], [[Gomukhāsana B]], [[Pūrvottānāsana]], [[Ūrdhva Dhanurāsana]], [[Baddhakoṇāsana A]], [[Vajrāsana A]], [[Ūrdhva Dhanurāsana]], [[Vīrabhadrāsana A]].","Wrist flexors, elbow flexors, external rotators of the arm, shoulder stabilizers (emphasis retractors, protractors, flexors), back extensors, transversus abdominis, hip extensors and adductors, intrinsic foot muscles.","[[Adhomukhavṛkṣāsana]], [[Añjanēyāsana]], [[Ālāsana]], [[Rājakapotāsana]], [[Bharmanāsana]], [[Dhanurāsana]], [[Ekapādarājakapotāsana]], [[Garuḍāsana]], [[Matsyāsana]], [[Piñchamayūrāsana]], [[Śīrṣāsana]], [[Vajrāsana A]], [[Ūrdhvamukhaśvānāsana]], [[Uṣṭrāsana]].",Eka Pada variation; walk feet in and transition to [[Piñchamayūrāsana]].,"[[Apānāsana]], [[Marīchyāsana]], [[Baddhakoṇāsana B]], [[Ānandabālāsana]], [[Bālāsana]], [[Paścimottānāsana]]."
